Courses,Course Unit,Student1 score,Student1 grade,Student2 score,Student2 grade
CHE 101 (3),3,66,12,70,15
CHE 103 (1),1,67,4,63,4
CVE 105 (2),2,65,8,70,10
GNS 101 (2),2,55,6,70,10
GNS 103 (1),1,78,5,70,5
MEE 101 (3),3,92,15,56,9
MTS 101 (3),3,68,12,70,15
PHY 101 (3),3,56,6,80,15
PHY 103 (2),2,70,10,68,8
PHY 107 (1),1,75,5,57,3
CHE 102 (3),3,75,15,68,12
CHE 104 (1),1,68,4,63,4
CSC 102 (3),3,88,15,80,15
GNS 102 (2),2,65,8,70,10
GNS 106 (2),2,74,10,74,10
MEE 102 (2),2,77,10,60,8
MTS 102 (3),3,70,15,68,12
MTS 104 (3),3,75,15,70,15
PHY 102 (3),3,60,12,70,15
PHY 108 (1),1,70,5,68,4
CHE 205 (2),2,68,8,70,10
CPE 201 (3),3,71,15,70,15
CSC 201 (3),3,68,12,88,15
CSP 201 (1),1,79,5,80,5
EEE 201 (3),3,75,15,65,12
EEE 301 (2),2,76,10,58,6
MEE 201 (2),2,70,10,68,8
MEE 207 (3),3,70,15,70,15
MME 201 (3),3,78,15,68,12
MNE 201 (1),1,79,5,70,5
MTS 201 (3),3,68,12,68,12
AGE 204 (3),3,73,15,71,15
CSP 210 (2),2,75,10,70,10
CPE 202 (3),3,71,15,64,12
CVE 202 (3),3,68,12,68,12
EEE 202  (3),3,79,15,64,12
EEE 311 (3),3,75,15,68,12
MEE 202 (3),3,68,12,64,12
MEE 206 (3),3,79,15,70,15
MTS 202 (3),3,78,15,64,12
CPE 220 (2),2,81,10,70,10
AGE 301 (2),2,75,10,66,10
CPE 301 (3),3,68,12,70,15
EEE 303 (2),2,56,6,58,6
EEE 305 (3),3,75,15,70,15
EEE 307 (3),3,79,15,58,9
EEE 313 (1),1,80,5,68,4
 PMT 301 (2),2,70,10,70,10
MTS 315 (3),3,76,15,68,12
CPE 302 (3),3,67,12,70,15
EEE 302 (3),3,76,15,58,9
EEE 304 (3),3,79,15,58,9
EEE 306 (3),3,68,12,70,15
EEE 310 (1),1,80,5,70,5
ENT 302 (3),3,79,15,70,15
GNS 202 (3),3,62,12,68,12
MNE 314 (2),2,60,8,70,10
MTS 316 (3),3,70,15,68,12
CPE 320 (2),2,76,10,68,8
